0: Generating SQLite file /iopsstor/scratch/cscs/course_00277/lsaie-ss26-gipfelsturm/gipfelsturm/throughput-8b-1n/nsys-throughput-8b-1n-2404787.sqlite from /iopsstor/scratch/cscs/course_00277/lsaie-ss26-gipfelsturm/gipfelsturm/throughput-8b-1n/nsys-throughput-8b-1n-2404787.nsys-rep
0: Processing [/iopsstor/scratch/cscs/course_00277/lsaie-ss26-gipfelsturm/gipfelsturm/throughput-8b-1n/nsys-throughput-8b-1n-2404787.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.6.1/target-linux-sbsa-armv8/reports/cuda_gpu_kern_sum.py]... 
0: 
0:  ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):
0: 
0:  Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
0:  --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
0:      26.1      65665891489      32799  2002069.9  3105920.0    666176    5887296    1279099.0  nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN                                                      
0:      14.5      36636388228      24790  1477869.6   709856.0    443136    5562784    1260561.3  nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_NNT                                                      
0:      12.9      32564379729      32546  1000564.7   889952.0    343360    2058912     535765.7  nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT                                                      
0:      10.4      26250873632       8180  3209153.3  3189584.0   2945504    3486944      69988.5  nvjet_sm90_tst_192x192_64x3_2x1_v_badd_coopB_NTN                                                    
0:       6.0      15186060041       8180  1856486.6  1851328.0   1622688    2230048      36033.0  cudnn_generated_fort_native_sdpa_sm90_flash_bprop_wgmma_f16_knob_26_64x64x128_1x4x1_cga1x1x1_kernel…
0:       5.8      14583593760       8430  1729963.7  1608352.0   1333568    5797472     666972.5  nvjet_sm90_tst_320x128_64x3_1x2_h_badd_coopB_NTT                                                    
0:       5.3      13358802575       8177  163
0: 3704.6  1630592.0   1308224    1993216      31665.9  nvjet_sm90_tst_320x128_64x3_1x2_h_bz_coopB_NNT                                                      
0:       4.2      10668231063      16273   655578.6   655680.0    495264     818112      16077.0  cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel…
0:       3.8       9587520099      16360   586034.2   677536.0    434880     881856     121345.2  nvjet_sm90_tst_256x128_64x4_1x2_h_badd_coopA_NTT                                                    
0:       2.0       4998338591        784  6375431.9  1303888.0    255424  915424164   55734931.4  ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)         
0:       1.9       4660926118       8177   570004.4   567040.0    481888     716800      19531.1  triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0                                              
0:       1.2       3037730050      16273   186673.0   186688.0    184320     205440        779.2  triton_poi_fused_mul_silu_split_0                                                                   
0:       0.8       2105605693      33055    63700.1    96416.0     22624     145472      36133.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
0:       0.7       1812743068      32546    55697.9    65664.0     20448     108672      29407.6  void transformer_engine::fused_rope_forward_kernel<__nv_bfloat16>(const T1 *, const int *, const fl…
0:       0.7       1693049919      32546    52020.2    51968.0     49568      62592        627.5  triton_poi_fused_add_0                                                                              
0:       0.6       1526004417      32799    46525.9    46144.0     42976      76192       2938.1  void transformer_engine::normalization::rmsnorm_fwd_tuned_kernel<transformer_engine::normalization:…
0:       0.4       1048956126      16613    63140.7    63040.0     57088     118976       1573.1  void transformer_engine::normalization::rmsnorm_bwd_tuned_kernel<transformer_engine::normalization:…
0:       0.4       1013463167      33229    30499.4    52160.0      1120     370080      37275.8  void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, …
0:       0.4        974115741      16360    59542.5    60512.0     23680     112736      30249.5  void transformer_engine::fused_rope_backward_kernel<__nv_bfloat16>(const T1 *, const int *, const f…
0:       0.3        638504446       8180    78056.8    77984.0     73376      97312       1266.3  void cudnn::fusion::compute_dot_do_o_specialized<(bool)1, (int)128>(const void *, const void *, voi…
0:       0.2        521668126       8180    63773.6    63712.0     59200      71552        942.0  void cudnn::fusion::convert_dq_to_16bits<(bool)1>(const void *, void *, unsigned int, unsigned int,…
0:       0.2        484960446        253  1916839.7  1916544.0   1911744    1925248       2215.0  triton_red_fused_copy__exp_sub_sum_unsqueeze_2                                                      
0:       0.2        466974781       8180    57087.4    57152.0     55232      68160        498.9  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
0:       0.2        427857985      16360    26152.7    26304.0     24480      31808        780.7  void cudnn::fusion::fmha_reduce_head<(bool)1>(const void *, void *, unsigned int, unsigned int, uns…
0:       0.1        365885856        490   746705.8   720928.0    244064    2140608     398100.2  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
0:       0.1        290298591        253  1147425.3  1147360.0   1144736    1149856       1005.9  triton_poi_fused__to_copy_copy__mul_unsqueeze_view_2                                                
0:       0.1        229664638        253   907765.4   907648.0    905664     911552        927.9  triton_poi_fused_copy__div_split_unsqueeze_1                                                        
0:       0.1        228757216        253   904178.7   904192.0    902176     906080        686.2  triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_0                                    
0:       0.1        192376961        720   267190.2   270416.0      3648     283808      36378.7  void multi_tensor_apply_kernel<TensorListMetadata<(int)5, (bool)0>, transformer_engine::multi_tenso…
0:       0.1        184106657        253   727694.3   727552.0    725344     731168       1039.9  triton_red_fused__to_copy_max_0                                                                     
0:       0.0         70223456        320   219448.3   138432.0    134336     549408     162974.9  void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std:…
0:       0.0         65315166        784    83310.2    63648.0     45664     243232      41160.2  void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10…
0:       0.0         61464928      16613     3699.8     3680.0      2848       6336        102.3  void transformer_engine::normalization::rmsnorm_bwd_finalize_tuned_kernel<transformer_engine::norma…
0:       0.0         54441280        256   212661.3   211616.0    197728     270720       9611.4  void at::native::<unnamed>::compute_grad_weight<c10::BFloat16, long>(const T2 *, const T1 *, const …
0:       0.0         43793024        256   171066.5   171168.0    146400     222944       9928.6  void at::native::<unnamed>::sum_and_scatter<c10::BFloat16, long>(const T2 *, T1 *, long, const T2 *…
0:       0.0         28152480         32   879765.0   381200.0      5632    2854144    1042125.2  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
0:       0.0         23598272        712    33143.6    33312.0     19552      35712       1565.0  void multi_tensor_apply_kernel<TensorListMetadata<(int)2, (bool)0>, transformer_engine::multi_tenso…
0:       0.0         17787616       2048     8685.4     8416.0      8032      11936        616.4  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::de…
0:       0.0         16928064      16273     1040.3      960.0       640       2656        209.4  transformer_engine::fused_attn::extract_seed_and_offset(long *, bool, long *, unsigned long, long *…
0:       0.0         14854752        712    20863.4    20800.0     17152      28768        869.4  void multi_tensor_apply_kernel<TensorListMetadata<(int)1, (bool)0>, transformer_engine::multi_tenso…
0:       0.0          7913184        253    31277.4    31136.0     27424      39328       1374.2  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
0:       0.0          2448800        759     3226.4     3424.0      2336       6400        462.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
0:       0.0          1556320        256     6079.4     6048.0      5504       8064        261.5  void at_cuda_detail::cub::detail::unique_by_key::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::…
0:       0.0          1198976        256     4683.5     4672.0      4448       6912        215.1  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::d…
0:       0.0          1112032        759     1465.1     1440.0      1216       2848        161.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
0:       0.0           969280        253     3831.1     3392.0      2848      13344       1906.9  triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_1                                    
0:       0.0           958880        256     3745.6     3712.0      3328       4960        203.2  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
0:       0.0           922912        506     1823.9     1792.0      1664       2688        122.2  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::nat…
0:       0.0           758944        253     2999.8     2848.0      2688       6720        583.8  triton_poi_fused_arange_bitwise_or_ge_index_index_put_lift_fresh_lt_sub_unsqueeze_view_0            
0:       0.0           705024        253     2786.7     2656.0      2432       4128        371.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
0:       0.0           677632        506     1339.2     1312.0      1088       2144        157.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
0:       0.0           655296        253     2590.1     2528.0      2272       4704        259.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
0:       0.0           599168        256     2340.5     2304.0      2112       3488        152.4  void at::native::<unnamed>::krn_partial_segment_offset<long>(T1 *, const T1 *, const T1 *, const T1…
0:       0.0           521248        253     2060.3     2048.0      1920       2496         78.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
0:       0.0           487264        256     1903.4     1888.0      1632       2496        114.2  void at::native::<unnamed>::krn_partials_per_segment<long>(T1 *, const T1 *, const long *, long)    
0:       0.0           448000        253     1770.8     1760.0      1536       2592        134.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
0:       0.0           438432        253     1732.9     1664.0      1504       2720        255.8  triton_poi_fused_log_split_sub_0                                                                    
0:       0.0           419392        253     1657.7     1632.0      1536       2144         97.1  triton_poi_fused_arange_cat_index_index_put_lift_fresh_sub_unsqueeze_view_1                         
0:       0.0           404256        256     1579.1     1568.0      1152       2368        108.2  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
0:       0.0           395296        256     1544.1     1504.0      1440       4224        234.1  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub…
0:       0.0           390944        253     1545.2     1504.0      1344       2816        140.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
0:       0.0           366656        253     1449.2     1440.0      1248       1856         90.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array…
0:       0.0           356544          8    44568.0    45216.0      9760      82848      26714.1  ncclDevKernel_AllReduce_Sum_u32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
0:       0.0           335712        256     1311.4     1312.0      1216       1536         37.3  void at::native::<unnamed>::compute_num_of_partial_segments<long>(const T1 *, const T1 *, const lon…
0:       0.0           321600        253     1271.1     1280.0      1152       1440         54.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
0:       0.0           267712        277      966.5      992.0       704       1152         60.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
0:       0.0           264672        256     1033.9     1024.0       928       3744        176.2  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
0:       0.0           262272        256     1024.5     1024.0       896       1440         64.9  void at_cuda_detail::cub::detail::scan::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<…
0:       0.0            37792          8     4724.0     4688.0      4448       5120        241.9  void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<float, at::native::func_wrapp…
0:       0.0            28160         24     1173.3     1056.0       864       1952        316.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
0:       0.0            16192          8     2024.0     2064.0      1696       2272        197.1  transformer_engine::multi_tensor_l2norm::cleanup(float *, float *, float *, float *, bool, int)     
0:       0.0            15104          8     1888.0     1824.0      1600       2240        253.1  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
0:       0.0            11200          8     1400.0     1392.0      1280       1536         90.1  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
0:       0.0            10176          8     1272.0     1296.0      1088       1408        115.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
0:       0.0             8704          8     1088.0     1072.0       992       1216         87.2  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::nat…
0: 
